(肉)	(육)	(★과육)
(水磨調服)	(수마조복)	(물에 갈아 타 먹인다)
(水磨取汁)	(수마취즙)	(물에 갈아 즙 낸다)
(水飛)	(수비)	(수비한다)
(鹽炒)	(염초)	(소금물을 축여 볶는다)
(煨)	(외)	(잿불에 묻어 굽는다)
(爲泥)	(위니)	(질게 간다)
(炙)	(자)	(살짝 굽는다)
(自然汁)	(자연즙)	(자연즙)
(全者)	(전자)	(전체가 온전한 것)
(全者, 酒炒)	(전자, 주초)	(전체가 온전한 것. 술에 축여 볶는다)
(全者酒炒)	(전자주초)	(전체가 온전한 것. 술에 축여 볶는다)
(節)	(절)	(마디)
(淨洗, 去頭足翅)	(세정, 거두족시)	(깨끗이 씻은 후 머리ㆍ다리ㆍ날개를 뗀다)
(淨洗去頭足翅)	(세정거두족시)	(깨끗이 씻은 후 머리ㆍ다리ㆍ날개를 뗀다)
(製)	(제)	(법제한다)
(皂角水浸煮)	(조각수침자)	(조각물에 담가서 끓인다)
(皂角水煮)	(조각수자)	(조각물에 달인다)
(酒塗灸)	(주도구)	(술을 발라 굽는다)
(酒洗)	(주세)	(술로 씻는다)
(酒洗, 炒)	(주세, 초)	(술로 씻은 후 볶는다)
(酒洗炒)	(주세초)	(술로 씻은 후 볶는다)
(酒炙)	(주자)	(술을 축여 살짝 굽는다)
(酒蒸)	(주증)	(술에 찐다)
(酒炒)	(주초)	(술을 축여 볶는다)
(酒浸, 去甲)	(주침, 거갑)	(술에 담갔다가 껍데기를 제거한다)
(酒浸去甲)	(주침거갑)	(술에 담갔다가 껍데기를 제거한다)
(酒浸去甲)	(주침거갑)	(술에 담갔다가 껍데기를 제거한다)
(汁)	(즙)	(즙)
(直者, 炒去觜)	(직자, 초거시)	(곧은 것. 볶은 후 주둥이 부분은 버린다)
(直者炒去觜)	(직자초거시)	(곧은 것. 볶은 후 주둥이 부분은 버린다)
(尖)	(첨)	(뾰족한 부분)
(炒)	(초)	(볶는다)
(炒去皮)	(초거피)	(볶아서 껍질을 제거한다)
(炒去毒)	(초거독)	(볶아서 독을 제거한다)
(醋灸)	(초구)	(식초를 축여 굽는다)
(醋灸黃)	(초구황)	(식초를 축여 누렇게 굽는다)
(炒水飛)	(초수비)	(볶은 후 수비한다)
(醋淬)	(초쉬)	(식초에 담금질한다)
(炒硏)	(초연)	(볶은 후 빻는다)
(醋炙)	(초자)	(식초를 축여 살짝 굽는다)
(醋煮)	(초자)	(식초에 달인다)
(炒赤)	(초적)	(빨갛게 볶는다)
(炒黃)	(초황)	(누렇게 볶는다)
(炒黑)	(초흑)	(검게 볶는다)
(取霜)	(취상)	(겉의 햐얀 부분)
(土炒)	(토초)	(흙과 함께 볶는다)
(槌去核, 蒸搗爛化膏)	(추거핵, 증도란화고)	(몽둥이로 씨를 깨고 증기에 찐 후 짓찧어 고약처럼 만든다)
(槌去核蒸搗爛化膏)	(추거핵증도란화고)	(몽둥이로 씨를 깨고 증기에 찐 후 짓찧어 고약처럼 만든다)
(炮)	(포)	(습지에 싸서 굽는다)
